"CTDID","Region","Year","Latitude","Longitude","UTCDate","UTCTime","DIC_umol_kg","TA_umol_kg","pH_measured","pH_calculated","pCO2_uatm","Aragonite_Sat_W","Salinity_Bottle","Conductivity_Sm","Salinity_CTD","Temperature_C","Pressure_db","Density_Sigmat","SiteID","Survey_design","Sample_frequency","ncrmp_flag","bottle_id","source_code","sample_num","bottle_name","deployment_id","project_code","collection_id","collected_date","collected_time","collected_timezone","density_id","dic_id","calc_avg_dic","dic_temp","dic_machine","dic_kg_flag","calibration_dic_id","calc_avg_crm_init_dic","crm_init_dic_temp","calibration_dic_kg_flag","dic_crm_id","dic_crm_batch","dic_crm_dic","dic_crm_salinity","ta_id","calc_avg_ta","calc_avg_ta_temp","ta_machine","ta_kg_flag","calibration_ta_id","calc_avg_crm_ta","calc_avg_crm_ta_temp","calibration_ta_kg_flag","ta_crm_id","ta_crm_batch","ta_crm_ta","ta_crm_salinity","spec_ph_id","spec_ph_temp","rm_factor","seacarb_id","UTCDate_Time","datetime","ESTDate","ESTTime","Month","Months","MY","MoY","ToD","Season","Precipitation","dec.lon","dec.lat","Zone","Sub_region","Reference","Extreme","BestSalinity","Date","TA_0","DIC_0","nTA","nDIC"
"WS10180_1","FL",2010,25.645,-80.1266666666667,"2010-06-29","14:59:00",1786.825,2142.38,NA,8.06113100358936,340.192565366128,3.88240094390995,NA,NA,36.7729999999999,30.2955,0,NA,"1","Permanent","Single",1,10069,"E",1078,"173",517,"Walton Smith",9269,"6/29/2010","14:59:00","+00:00",NA,17199,1788.74,NA,"SOMMA",1,594,2007.275,NA,1,17,96,2005.36,33.081,9137,2123.65,NA,"Langdonometer",1,630,2165.3,NA,1,16,85,2184.03,33.326,NA,NA,NA,4567,"2010-06-29 14:59:00","2010-06-29 09:59:00","2010-06-29","09:59:00","Jun","June","2010-06",6,9.98333333333333,"Spring","Wet",-80.12666667,25.645,"Inshore","Biscayne",1,"Normal",36.7729999999999,2010-06-29,2586.81740152882,2918.82507261774,2163.80842609824,1841.40406966391
"WS10180_2","FL",2010,25.6474666666667,-80.0832833333333,"2010-06-29","15:31:00",2054.335,2364.58,NA,7.96559268856442,500.286831262754,3.57405921332128,NA,NA,36.4915,29.6325,0,NA,"3","Permanent","Single",1,10070,"E",1079,"174",517,"Walton Smith",9270,"6/29/2010","15:31:00","+00:00",NA,17200,2056.25,NA,"SOMMA",1,594,2007.275,NA,1,17,96,2005.36,33.081,9138,2345.85,NA,"Langdonometer",1,630,2165.3,NA,1,16,85,2184.03,33.326,NA,NA,NA,4568,"2010-06-29 15:31:00","2010-06-29 10:31:00","2010-06-29","10:31:00","Jun","June","2010-06",6,10.5166666666667,"Spring","Wet",-80.08333333,25.645,"Offshore","Biscayne",1,"Normal",36.4915,2010-06-29,2586.81740152882,2918.82507261774,2373.66340529658,2089.66889812174
"WS10180_3","FL",2010,25.0785166666667,-80.33235,"2010-06-29","21:51:00",2016.705,2395.18,NA,8.05765122837639,387.968376001472,4.31534904097817,NA,NA,36.497,30.151,0,NA,"5.5","Permanent","Single",1,10071,"E",1080,"175",517,"Walton Smith",9271,"6/29/2010","21:51:00","+00:00",NA,17201,2018.62,NA,"SOMMA",1,594,2007.275,NA,1,17,96,2005.36,33.081,9139,2376.45,NA,"Langdonometer",1,630,2165.3,NA,1,16,85,2184.03,33.326,NA,NA,NA,4569,"2010-06-29 21:51:00","2010-06-29 16:51:00","2010-06-29","16:51:00","Jun","June","2010-06",6,16.85,"Spring","Wet",-80.33416667,25.07966667,"Mid channel","UK",3,"Normal",36.497,2010-06-29,2586.81740152882,2918.82507261774,2403.04040469323,2053.70732207329
"WS10180_4","FL",2010,25.0677833333333,-80.3156333333333,"2010-06-29","22:10:00",2038.135,2372.23,NA,8.00057950992198,454.232750442573,3.83186234000593,NA,NA,36.4345,29.8,0,NA,"6","Permanent","Single",1,10072,"E",1081,"176",517,"Walton Smith",9272,"6/29/2010","22:10:00","+00:00",NA,17202,2040.05,NA,"SOMMA",1,594,2007.275,NA,1,17,96,2005.36,33.081,9140,2353.5,NA,"Langdonometer",1,630,2165.3,NA,1,16,85,2184.03,33.326,NA,NA,NA,4570,"2010-06-29 22:10:00","2010-06-29 17:10:00","2010-06-29","17:10:00","Jun","June","2010-06",6,17.1666666666667,"Spring","Wet",-80.315,25.065,"Offshore","UK",3,"Normal",36.4345,2010-06-29,2586.81740152882,2918.82507261774,2380.67874027345,2072.80955047195
"WS10180_5","FL",2010,24.8157333333333,-80.7525333333333,"2010-06-30","3:03:00",1767.625,2188.08,NA,8.13870051284549,273.669434461997,4.54717913755114,NA,NA,37.274,30.591,0,NA,"7","Permanent","Single",1,10073,"E",1082,"177",517,"Walton Smith",9273,"6/30/2010","3:03:00","+00:00",NA,17203,1769.54,NA,"SOMMA",1,594,2007.275,NA,1,17,96,2005.36,33.081,9141,2169.35,NA,"Langdonometer",1,630,2165.3,NA,1,16,85,2184.03,33.326,NA,NA,NA,4571,"2010-06-30 03:03:00","2010-06-29 22:03:00","2010-06-29","22:03:00","Jun","June","2010-06",6,22.05,"Spring","Wet",-80.75666667,24.82083333,"Inshore","MK",6,"Normal",37.274,2010-06-29,2586.81740152882,2918.82507261774,2212.40604096895,1837.85703748277
"WS10180_6","FL",2010,24.7930166666667,-80.7415166666667,"2010-06-30","3:20:00",2030.215,2389.78,NA,8.03667672794383,412.126559669977,4.09967597593155,NA,NA,36.545,29.711,0,NA,"8","Permanent","Single",1,10074,"E",1083,"178",517,"Walton Smith",9274,"6/30/2010","3:20:00","+00:00",NA,17204,2032.13,NA,"SOMMA",1,594,2007.275,NA,1,17,96,2005.36,33.081,9142,2371.05,NA,"Langdonometer",1,630,2165.3,NA,1,16,85,2184.03,33.326,NA,NA,NA,4572,"2010-06-30 03:20:00","2010-06-29 22:20:00","2010-06-29","22:20:00","Jun","June","2010-06",6,22.3333333333333,"Spring","Wet",-80.74166667,24.7925,"Mid channel","MK",6,"Normal",36.545,2010-06-29,2586.81740152882,2918.82507261774,2398.11008032185,2067.78245278956
"WS10180_7","FL",2010,24.7632833333333,-80.7235333333333,"2010-06-30","3:48:00",2045.015,2391.28,NA,8.01946381015145,434.177025601626,3.9667099579851,NA,NA,36.414,29.609,0,NA,"9","Permanent","Single",1,10075,"E",1084,"179",517,"Walton Smith",9275,"6/30/2010","3:48:00","+00:00",NA,17205,2046.93,NA,"SOMMA",1,594,2007.275,NA,1,17,96,2005.36,33.081,9143,2372.55,NA,"Langdonometer",1,630,2165.3,NA,1,16,85,2184.03,33.326,NA,NA,NA,4573,"2010-06-30 03:48:00","2010-06-29 22:48:00","2010-06-29","22:48:00","Jun","June","2010-06",6,22.8,"Spring","Wet",-80.72333333,24.76333333,"Offshore","MK",6,"Normal",36.414,2010-06-29,2586.81740152882,2918.82507261774,2398.87295561492,2078.94611008627
"WS10180_8","FL",2010,24.7176666666667,-80.6878833333333,"2010-06-30","4:30:00",2054.475,2388.48,NA,8.00091534278326,457.758212558177,3.84662565281961,NA,NA,36.2895,29.716,0,NA,"9.5","Permanent","Single",1,10076,"E",1085,"180",517,"Walton Smith",9276,"6/30/2010","4:30:00","+00:00",NA,17206,2056.39,NA,"SOMMA",1,594,2007.275,NA,1,17,96,2005.36,33.081,9144,2369.75,NA,"Langdonometer",1,630,2165.3,NA,1,16,85,2184.03,33.326,NA,NA,NA,4574,"2010-06-30 04:30:00","2010-06-29 23:30:00","2010-06-29","23:30:00","Jun","June","2010-06",6,23.5,"Spring","Wet",-80.69,24.71666667,"Oceanic","MK",6,"Normal",36.2895,2010-06-29,2586.81740152882,2918.82507261774,2395.52766059801,2085.18855126526
"WS10180_9","FL",2010,24.7801666666667,-80.8583333333333,"2010-06-30","6:42:00",2003.435,2375.03,NA,8.04857262625897,393.853186577995,4.20514786045516,NA,NA,36.8564999999999,30.0155,0,NA,"10","Permanent","Single",1,10077,"E",1086,"181",517,"Walton Smith",9277,"6/30/2010","6:42:00","+00:00",NA,17207,2005.35,NA,"SOMMA",1,594,2007.275,NA,1,17,96,2005.36,33.081,9145,2356.3,NA,"Langdonometer",1,630,2165.3,NA,1,16,85,2184.03,33.326,NA,NA,NA,4575,"2010-06-30 06:42:00","2010-06-30 01:42:00","2010-06-30","01:42:00","Jun","June","2010-06",6,1.7,"Spring","Wet",-80.86,24.78833333,"Inshore","MK",7,"Normal",36.8564999999999,2010-06-30,2586.81740152882,2918.82507261774,2385.69795031916,2049.54414410795
"WS10180_10","FL",2010,24.7565833333333,-80.8473666666667,"2010-06-30","7:06:00",2050.275,2372.78,NA,7.97622125030148,485.56245254938,3.69917824077141,NA,NA,36.7749999999999,29.931,0,NA,"11","Permanent","Single",1,10078,"E",1087,"182",517,"Walton Smith",9278,"6/30/2010","7:06:00","+00:00",NA,17208,2052.19,NA,"SOMMA",1,594,2007.275,NA,1,17,96,2005.36,33.081,9146,2354.05,NA,"Langdonometer",1,630,2165.3,NA,1,16,85,2184.03,33.326,NA,NA,NA,4576,"2010-06-30 07:06:00","2010-06-30 02:06:00","2010-06-30","02:06:00","Jun","June","2010-06",6,2.1,"Spring","Wet",-80.84666667,24.75333333,"Mid channel","MK",7,"Normal",36.7749999999999,2010-06-30,2586.81740152882,2918.82507261774,2383.11083311254,2092.19685938535
