"CTDID","Region","Year","Mission","Location","Latitude","Longitude","UTCDate","UTCTime","Sample_Depth_m","DIC_umol_kg","TA_umol_kg","pH_measured","pH_calculated","pCO2_uatm","Aragonite_Sat_W","Salinity_Bottle","Conductivity_Sm","Salinity_CTD","Temperature_C","Pressure_db","Density_Sigmat","SiteID","Survey_design","Sample_frequency","ncrmp_flag","bottle_id","source_code","sample_num","bottle_name","deployment_id","project_code","collection_id","collected_date","collected_time","collected_timezone","density_id","dic_id","calc_avg_dic","dic_temp","dic_machine","dic_kg_flag","calibration_dic_id","calc_avg_crm_init_dic","crm_init_dic_temp","calibration_dic_kg_flag","dic_crm_id","dic_crm_batch","dic_crm_dic","dic_crm_salinity","ta_id","calc_avg_ta","calc_avg_ta_temp","ta_machine","ta_kg_flag","calibration_ta_id","calc_avg_crm_ta","calc_avg_crm_ta_temp","calibration_ta_kg_flag","ta_crm_id","ta_crm_batch","ta_crm_ta","ta_crm_salinity","spec_ph_id","spec_ph_temp","rm_factor","seacarb_id","UTCDate_Time","datetime","ESTDate","ESTTime","Month","Months","MY","MoY","ToD","Season","Precipitation","dec.lon","dec.lat","Zone","Sub_region","Reference","Extreme","BestSalinity","TA_0","DIC_0","nTA","nDIC","Date","Problem"
"WS18120_12","FL",2018,"WaltonSmith","Upper_Keys",24.9220833333333,-80.5475333333333,2018-05-01,"0:48:00",0,2032.70029036951,2406.49799197801,NA,8.22179091546916,274.698968363435,4.68853814198892,26.9570803750063,NA,36.5,27.33,0,NA,"UK_MID","Permanent","Single",1,1546,"O",1862,"6P",131,"WS - May 2018",1546,"5/1/2018","0:48:00","+00:00",1539,9734,2068.25,25,"UNSPECIFIED",0,128,2085.25,24.5,0,5,163,2039.43,33.362,1532,2446.55,24.6,"AS2",0,356,2272.35,24.55,0,7,175,2224.53,33.458,NA,NA,NA,1226,2018-05-01 00:48:00,2018-04-30 19:48:00,2018-04-30,"19:48:00","Apr","April","2018-04",4,19.8,"Spring","Dry",-80.546176,24.920702,"Mid channel","UK",4,"Normal",26.9570803750063,2662.28790836907,2880.19990549057,2330.18046390013,1779.84014409967,2018-04-30,"salinity"
"WS17212_16","FL",2017,"WaltonSmith","Middle_Keys",24.8179,-80.7550666666667,2017-08-01,"3:44:00",0,1715.48568497419,2056.23053437287,NA,8.01045046438537,366.554474537887,3.42885154853203,41.0319851457546,NA,35.951,29.766,0,NA,"7","Permanent","Single",1,445,"O",484,"16T",35,"WS - July/Aug 2017",445,"8/1/2017","3:44:00","+00:00",447,8637,1761.4,24.6,"UNSPECIFIED",0,54,2286.95,23.6,0,6,164,2238.89,33.247,444,2110.1,24.25,"AS2",0,446,2356.95,23.9,0,6,164,2309.32,33.247,NA,NA,NA,403,2017-08-01 03:44:00,2017-07-31 22:44:00,2017-07-31,"22:44:00","Jul","July","2017-07",7,22.7333333333333,"Summer","Wet",-80.75666667,24.82083333,"Inshore","MK",6,"Normal",41.0319851457546,2662.28790836907,2880.19990549057,2145.32515322775,1886.70671784032,2017-07-31,"salinity"
"WS11094_24","FL",2011,"WaltonSmith","Middle_Keys",24.7191,-80.6883166666667,2011-04-08,"16:26:00",0,2182.68,2339.6,NA,7.73026931361497,943.498480193782,1.99895867874981,NA,NA,35.929,26.219,0,NA,"9.5","Permanent","Single",1,10173,"E",1182,"14",517,"Walton Smith",9373,"4/8/2011","16:26:00","+00:00",NA,17291,2164.09,NA,"SOMMA",1,602,1986.77,NA,1,17,96,2005.36,33.081,9229,2329.55,NA,"Langdonometer",1,639,2202.35,NA,1,17,96,2212.4,33.081,NA,NA,NA,4634,2011-04-08 16:26:00,2011-04-08 11:26:00,2011-04-08,"11:26:00","Apr","April","2011-04",4,11.4333333333333,"Spring","Dry",-80.69,24.71666667,"Oceanic","MK",6,"Normal",35.929,2662.28790836907,2880.19990549057,2347.94359617231,2200.71545860449,2011-04-08,"omega"
"WS17212_30","FL",2017,"WaltonSmith","Lower_Keys",24.6095166666667,-81.4212966666667,2017-08-01,"15:50:00",0,2025.47252151022,2169.27172272406,NA,7.67256158124912,1014.98260320353,1.83525747875831,36.3211987570624,NA,36.25,29.03,0,NA,"19","Permanent","Single",1,459,"O",498,"6G",36,"WS - July/Aug 2017",459,"8/1/2017","15:50:00","+00:00",461,8651,2069.3,24.8,"UNSPECIFIED",0,51,2283.2,24.1,0,6,164,2238.89,33.247,458,2222.1,24.25,"AS2",0,435,2360.15,24.35,0,6,164,2309.32,33.247,NA,NA,NA,417,2017-08-01 15:50:00,2017-08-01 10:50:00,2017-08-01,"10:50:00","Aug","August","2017-08",8,10.8333333333333,"Summer","Wet",-81.42166667,24.61,"Inshore","LK",10,"Normal",36.3211987570624,2662.28790836907,2880.19990549057,2187.20539215063,2056.56358667289,2017-08-01,"omega"
"WS21032_33","FL",2021,"WaltonSmith","Middle_Keys",24.718227,-80.687901,2021-02-07,"13:05:00",0,2158.47770623708,2372.50141694905,7.84256358900512,7.90246431930781,605.708559532393,2.49191576251716,35.9773569975031,NA,36.1069999999999,22.533,0,NA,"9.5","Permanent","Single",1,4839,"O",5779,"9S",349,"Walton Smith-Jan 2021",4839,"2/7/2021","13:05:00","+00:00",4775,12963,2212.63592386266,25,"UNSPECIFIED",0,328,2098.85,25,0,9,191,2051.4,33.316,4373,2423.7,23.45,"AS1",0,82,2267.6,25,0,9,191,2225.5,33.316,1467,25.265,1.4567,3360,2021-02-07 13:05:00,2021-02-07 08:05:00,2021-02-07,"08:05:00","Feb","February","2021-02",2,8.08333333333333,"Winter","Dry",-80.69,24.71666667,"Oceanic","MK",6,"Normal",35.9773569975031,2662.28790836907,2880.19990549057,2380.37372550109,2178.08393361345,2021-02-07,"omega"
"WS11214_1","FL",2011,"WaltonSmith","Upper_Keys",25.6450833333333,-80.1241166666667,2011-08-02,"14:54:00",0,1950.63,2381.61,NA,8.12817841811575,312.439295931771,4.893802819718,NA,NA,36.1916666666666,30.775,0,NA,"1","Permanent","Single",1,10312,"E",1321,"1",517,"Walton Smith",9512,"8/2/2011","14:54:00","+00:00",NA,17381,1925.73,NA,"SOMMA",1,608,1995.2,NA,1,18,104,2020.1,33.3,9348,2364.4,22.3,"Langdonometer",1,657,2205.4,NA,1,18,104,2222.61,33.3,NA,NA,NA,4693,2011-08-02 14:54:00,2011-08-02 09:54:00,2011-08-02,"09:54:00","Aug","August","2011-08",8,9.9,"Summer","Wet",-80.12666667,25.645,"Inshore","Biscayne",1,"HighOmega_NoReason",36.1916666666666,2662.28790836907,2880.19990549057,2390.85175475404,1981.23752854827,2011-08-02,"omega"
"WS11214_2","FL",2011,"WaltonSmith","Upper_Keys",25.6419833333333,-80.1037666666667,2011-08-02,"15:05:00",0,1983.28,2391.86,NA,8.10400801522042,338.905876052959,4.66239302577437,NA,NA,36.034,30.339,0,NA,"2","Permanent","Single",1,10313,"E",1322,"2",517,"Walton Smith",9513,"8/2/2011","15:05:00","+00:00",NA,17382,1958.38,NA,"SOMMA",1,608,1995.2,NA,1,18,104,2020.1,33.3,9349,2374.65,22.2,"Langdonometer",1,657,2205.4,NA,1,18,104,2222.61,33.3,NA,NA,NA,4694,2011-08-02 15:05:00,2011-08-02 10:05:00,2011-08-02,"10:05:00","Aug","August","2011-08",8,10.0833333333333,"Summer","Wet",-80.105,25.64166667,"Mid channel","Biscayne",1,"HighOmega_NoReason",36.034,2662.28790836907,2880.19990549057,2399.61996162662,2009.01722546143,2011-08-02,"omega"
"WS11214_3","FL",2011,"WaltonSmith","Upper_Keys",25.6527,-80.0807666666667,2011-08-02,"15:36:00",0,1975.93,2396.21,NA,8.11740016275927,325.883553535977,4.79008684593957,NA,NA,36.072,30.44633,0,NA,"3","Permanent","Single",1,10315,"E",1324,"3",517,"Walton Smith",9515,"8/2/2011","15:36:00","+00:00",NA,17383,1951.03,NA,"SOMMA",1,608,1995.2,NA,1,18,104,2020.1,33.3,9350,2377.25,21.9,"Langdonometer",1,658,2203.65,21.45,1,18,104,2222.61,33.3,NA,NA,NA,4695,2011-08-02 15:36:00,2011-08-02 10:36:00,2011-08-02,"10:36:00","Aug","August","2011-08",8,10.6,"Summer","Wet",-80.08333333,25.645,"Offshore","Biscayne",1,"HighOmega_NoReason",36.072,2662.28790836907,2880.19990549057,2404.11739403891,2002.80340149384,2011-08-02,"omega"
"WS11214_4","FL",2011,"WaltonSmith","Upper_Keys",25.10585,-80.3802666666667,2011-08-02,"22:14:00",0,1900.76,2315.56,NA,8.1726028338601,278.769059722665,4.92868372686523,NA,NA,32.055,30.742,0,NA,"4","Permanent","Single",1,10293,"E",1302,"4",517,"Walton Smith",9493,"8/2/2011","22:14:00","+00:00",NA,17375,1873.63,NA,"SOMMA",1,609,1992.97,NA,1,18,104,2020.1,33.3,9331,2296.2,NA,"Langdonometer",1,655,2203.25,NA,1,18,104,2222.61,33.3,NA,NA,NA,4687,2011-08-02 22:14:00,2011-08-02 17:14:00,2011-08-02,"17:14:00","Aug","August","2011-08",8,17.2333333333333,"Summer","Wet",-80.38,25.10833333,"Inshore","UK",3,"HighOmega_NoReason",32.055,2662.28790836907,2880.19990549057,2283.70494805344,1810.7755819164,2011-08-02,"omega"
"WS11214_5","FL",2011,"WaltonSmith","Upper_Keys",25.0955333333333,-80.3513166666667,2011-08-02,"22:40:00",0,1949.23,2377.21,NA,8.11919361142451,319.761051354703,4.87316451219917,NA,NA,36.1616666666666,31.17467,0,NA,"5","Permanent","Single",1,10294,"E",1303,"5",517,"Walton Smith",9494,"8/2/2011","22:40:00","+00:00",NA,17376,1922.1,NA,"SOMMA",1,609,1992.97,NA,1,18,104,2020.1,33.3,9332,2357.85,NA,"Langdonometer",1,655,2203.25,NA,1,18,104,2222.61,33.3,NA,NA,NA,4688,2011-08-02 22:40:00,2011-08-02 17:40:00,2011-08-02,"17:40:00","Aug","August","2011-08",8,17.6666666666667,"Summer","Wet",-80.355,25.09333333,"Inshore","UK",3,"HighOmega_NoReason",36.1616666666666,2662.28790836907,2880.19990549057,2386.36791593922,1979.13671632608,2011-08-02,"omega"
